party,text,year,manifesto
afd,"www.afd.de/europawahlprogramm EUROPAWAHLPROGRAMM Programm der Alternative für Deutschland für die Wahl zum  Europäischen Parlament 2019  Im Bewusstsein der historischen Verantwortung für Deutschlands Zukunft hat sich die Alternative für Deutschland das folgende Programm zur Wahl des  Europäischen Parlaments im Mai 2019 gegeben: Die AfD steht fest zu der Idee eines Europas der Vaterländer, einer europäischen Gemeinschaft souveräner Staaten, die zum Wohle ihrer Bürger in all jenen Angelegenheiten zusammenwirken, die gemeinsam besser erledigt werden können.",2019,afd_2019
afd,Dazu gehört insbesondere ein möglichst unbehinderter Binnenmarkt mit fairem Wettbewerb.,2019,afd_2019
afd,Die quasistaatliche „Europäische Union“ halten wir für einen Widerspruch in sich.,2019,afd_2019
afd,Eine Gruppe benachbarter Staaten kann sehr gut auf völkerrechtlicher Basis konstruktiv und friedlich kooperieren.,2019,afd_2019
afd,"Der Versuch jedoch, aus derzeit 28 oder noch mehr Staaten mit jeweils eigenen Sprachen, Kulturen und historischen Erfahrungen einen wie auch immer ausgestalteten Gesamtstaat zu bilden, muss scheitern.",2019,afd_2019
afd,"Ein solches Gebilde verfügt weder über ein Staatsvolk, noch über das erforderliche Mindestmaß an kultureller Identität, welche notwendige Voraussetzungen für gelingende Staaten sind.",2019,afd_2019
afd,"Die mahnenden Worte aus der Präambel unseres Wahlprogramms zur Europawahl 2014 gelten weiterhin und sind durch den Austritt Großbritanniens und den inzwischen nicht mehr vorstellbaren Eintritt der Türkei bestätigt worden: „So entsteht ohne Zustimmung der Bürger ein bürgerferner Kunststaat, der auf Vertrags- und Rechtsbrüche zurückgeht.",2019,afd_2019
afd,"Zusammen mit gewaltigen ökonomischen und sozialen Verwerfungen in den Südländern, der schleichenden Enteignung von Sparern und der ungerechten Belastung von Steuerzahlern der ökonomisch stabileren Staaten führt dies zu einer steigenden Ablehnung der EU ...",2019,afd_2019
afd,"In einzelnen Staaten wird sogar offen der Austritt aus dieser EU gefordert.“ Eine Union Europäischer Staaten wird nur dann eine Zukunft haben, wenn es gelingt, dem sich immer schneller drehenden Rad der Entdemokratisierung und Zentralisierung in die Speichen zu greifen, bevor die heutige EU durch die Pervertierung ihrer Gründungsidee an sich selbst zu Grunde geht.",2019,afd_2019
afd,Die wirtschaftsgeschichtlich ungewöhnliche Idee einer Einheitswährung für wirtschaftlich völlig unterschiedlich entwickelte Staaten ist gescheitert.,2019,afd_2019
afd,"Es handelte sich um eine politische Wunschvorstellung, die mit ökonomischen Gesetzen nicht in Einklang zu bringen war und auch für die Zukunft nicht in Einklang gebracht werden kann.",2019,afd_2019
afd,Die deshalb vielfach bereits praktizierte und sich weiter abzeichnende Transferunion führt zum Abstieg aller europäischen Volkswirtschaften und zu unüberbrückbaren Konflikten zwischen den Staaten. 8 Präambel Ein vergleichbares Versagen der EU hat sich in der Migrationskrise gezeigt.,2019,afd_2019
afd,"Obwohl in den Gründungsverträgen das innere und äußere Grenzregime der EU-Staaten und die Asyl- und Einwanderungspolitik an die EU übertragen worden sind, ist für die vorhersehbaren Migrationsprobleme keine Vorsorge getroffen worden.",2019,afd_2019
afd,Zudem hat die EU mit ihrem Krisenmanagement total versagt.,2019,afd_2019
